album,data,musica,letra
Labirinto da Memória,2024-01-12 00:00:00,Bolero,"O ar mesmo de longe exalava problema
E há algum tempo o que eu buscava era mesmo problema
Um sopro de vida, uma virada de chave
Uma corrente que levasse pro outro canto da margem
Sem tradução como o diabo no redemoinho
Sem perceber que aquele evento mudava pra sempre o caminho
E a partir daquele dia
Esse bolero virou minha vida
E ainda bem que eu me еncontrei aqui
Eu 'tava tentando era еra me perder
Deformado pra melhor, eu já não andava sozinho
Primeiro a gente parte o pão e depois toma o moinho
Num mundo hostil, uma mudança de clave
A nossa rede baseada toda em camaradagem
Sem tradução como a eterna saudade que sinto
Passa ano atrás de ano e esse fogo não é extinto
E a partir daquele dia
Esse pagode mudou minha vida
E ainda bem que eu te encontrei aqui
Eu 'tava tentando era era me perder
Eu sei que perdi
Bem mais de cem vezes
O meu peso em suor e sangue aqui
E essa noite a gente celebra
E ainda bem que eu te encontrei
Se essa vida é boa em uma coisa é em nos matar"
Labirinto da Memória,2024-01-12 00:00:00,Divino Caos,"Somos sós, mas não estamos sós
Somos água corrente
Somos pedras que rolam
Átomos conectados por eletricidade
Do material ao imaterial
Tudo que passa deixa algo e leva algo
Num movimento que é capaz de transformar
O universo gira do caos e do silêncio
E a paz da explosão, do som
Somos matéria cósmica e divina
Material em putrefação
Criando e destruindo
A cada segundo aqui
Do etéreo às cinzas
Do profano à luz
O que nos perpassa em vida
Fica e desaparece
Resignifica e se vai com o universo
Como um sopro, como chuva num vulcão
Somos um em um trilhão
Átomos organizados
Atirados, espalhados e reutilizados
Um minuto é muito
Uma vida é muito pouco
Desintegralmente integrados
Nesse divino caos
Em um mergulho de volta ao útero
Na placenta do mar local
Um impulso nos sabores, cores e odores
Da raiz mais radical
Da pequenês do universo
À infinitude celular
Uma migalha, um próton
De um grão ao pão
Explosão coletiva
Tudo enormemente cerebral
Não há bem, não há mal
Apenas esse divino caos
Não há bem e não há mal
Apenas esse divino caos
Não há bem e não há mal
Ninguém é especial
É inevitável
Somos um só, conectados ao divino caos
Divino caos"
Labirinto da Memória,2024-01-12 00:00:00,Você Conhece Pistóia,"Eu estive em sua guerra
Limpei suas armas
Eu lotei o seu porão
Matei ser quem eu pensava
Eu defendi suas ideias
Eu desejei o seu futuro
Trabalhei com afinco, te imitei
Eu me nutri do seu lixo
Me tornei educado
Recebi meu salário
Acatei o que me foi dito
Queria ser igual
Já não posso mais"
Lado Bets,2020-07-17 00:00:00,Décimo Andar,"[Verso]
Vislumbrar um caos tão ordenado daqui
Janelas acesas e postes de alguém, não sentir
Saudades da onde vier
Outro episódio sobre esta vida real
Que não vai cristalizar, não se pode valorar
Em uma figura para trace-consumir
Sem esperar as ruas da cidade
Hoje não vai chover, hoje não vai chover
Fogo a ultrapassar, paciência a esperar chegarem"
Lado Bets,2020-07-17 00:00:00,Roubando Comida,"[Verso 1]
Ele é limpinho
Toma banho e penteia o cabelinho
Faz a barba e toma iogurte
Paga seus impostos em dia
Fala baixo e respeita o vizinho
Respeita a polícia militar
Diz trabalhar feito um camelo
E odiar os nordestinos
[Refrão 1]
Nada melhor
Um cidadão de bem
Entende seus direitos
Pensando mais além
[Verso 2]
Sempre pronto pra dar um conselho
Vê um bom sujeito no espelho
Se relaciona com as pessoas certas
Sempre, as mais espertas
Se diverte na festa
Murcha uma de testa
Acredita em violar o estado
Sempre em seu proveito
Acredita na família e na igreja
Uma cidade limpa é o que deseja
Sem crianças pretas na sarjeta
Apóia grupos de extermínio
[Refrão 1]
Nada melhor
Um cidadão de bem
Entende seus direitos
Pensando mais além
[Ponte]
Mas o salário não dava
Vivia além do que podia
Comprando tudo o que via, veio a carestia
Achava entender economia
A dívida crescendo e a insatisfação
Um homem bom com crédito
Foi preso roubando comida
[Refrão 2]
Nada melhor (Roubando comida)
Um cidadão de bem (Roubando comida)
Entende seus direitos (Roubando comida)
Pensando mais além"
Lado Bets,2020-07-17 00:00:00,Deem Nome aos Bois,"[Intro]
O que é mais conveniente que amnésia coletiva?
Não saber porque se morre nem porque se mata
[Verso 1]
Não queremos esquecer se não há lembrança
Existe um sentimento de algo injusto no ar
O argumento não convence, mostrem suas mãos
Sujas de sangue, o que não vem ao caso
[Pré-Refrão 1]
Esconder, perpetuar
[Refrão 1]
Temos o direito à verdade
Pingos nos ""i""s, um passo à frente
Deem nome aos bois
Ordem e progresso por memória
[Verso 2]
Ampla e restrita para quem? Pra velhos em seus pijamas
E suas gordas pensões
Onde fica o desespero de quem ainda procura?
Abra os seus arquivos, covardes militares
[Pré-Refrão 2]
Assassinos, coronéis
[Refrão 2]
Temos o direito à verdade
Pingos nos ""i""s, um passo à frente
Deem nome aos bois
Reconstruir nossa memória
[Ponte]
Reconstruir nossa memória
Reconstruir nossa memória"
Lado Bets,2020-07-17 00:00:00,O Outro do Outro,"[Verso 1]
Sem janelas, só espelhos
A boa vida no apertamento
Proteção que aliena a quem convém
Sufocando em segurança
Retorcendo e distorcendo a razão
Interesses que não servem mais ninguém
Cresce o muro, cresce a grade
Cresce o ego insustentavelmente
Cresce o medo, o ódio e o desdém
[Pré-Refrão 1]
Ganhar mudando as leis, viver sem competir
Desaprender a enxergar e a sentir
[Refrão]
O ponto cego desumaniza o outro
Nega e anula o outro
E o outro do outro do outro
[Verso 2]
Amor devido é amor não pago
Dentro de uma escala de valor
A prudência que é capaz de anular
Aplaudido pelo ego
O reforço opositivo para si
Dividir a dívida pra se isentar
[Pré-Refrão 2]
Responsabilizar, acusar, repreender
Aqueles que não poderão se defender
[Refrão]
O ponto cego desumaniza o outro
Nega e anula o outro
E o outro do outro do outro
[Ponte 1]
Cativeiro privativo
Alto custo de manutenção
Esperando a chegada do passado
Fragilidade extrema
Revivendo a confrontação
Resignado ao quadrado
[Refrão]
O ponto cego desumaniza o outro
Nega e anula o outro
E o outro do outro do outro
[Ponte 2]
Auto-ajuda, gasolina
Nos limites entre contas e quinas
Pobres cachorros prontos pra se adaptar
Na caverna, o que vê é só o que há
Receita fabricada para confundir
O outro do outro do outro"
Lado Bets,2020-07-17 00:00:00,Modern Man,"[Verse 1]
I've got nothing to say, I've got nothing to do
All of my neurons are functioning smoothly
Yet still I'm a cyborg just like you
I am one big myoma that thinks my planet supports only me
I've got this one big problem: will I live forever?
I've got just a short time you see
[Chorus 1]
Modern man, evolutionary betrayer
Modern man, ecosystem destroyer
Modern man, destroy yourself in shame
Modern man, pathetic example of earth's organic heritage
[Verse 2]
When I look back and think
When I ponder and ask why?
I see my ancestors spend with careless abandon
Assuming eternal supply
[Chorus]
Modern man, evolutionary betrayer
Modern man, ecosystem destroyer
Modern man, destroy yourself in shame
Modern man, pathetic example of earth's organic heritage
[Outro]
Just a sample of carbon-based wastage
Just a fucking tragic epic of you and I"
Lado Bets,2020-07-17 00:00:00,Michel Oghata,"[Verso 1]
Foi avisado, lá não era um bom lugar
O príncipe ordenou não ser tão curioso
Aquilo podia matar, não precisava entender
O que chamam civilização
Partiu com um sorriso na face
Sem dar ouvidos, lá se foi
Qualquer dia, qualquer lugar
Precisava provar
[Refrão 1]
Michel Oghata vai pra cidade aprender
Vivenciar o belo, ver o seu superior
Tratado como diferente, se assustou
Passaporte, passeou a morte
[Verso 2]
A lei para os indesejáveis
Louros ao vencedor
Se arrependeu em estar ali e quis fugir
Um preço alto demais a pagar
Não precisa mais do que já sabe
Eles não confiam em ninguém
Não respeitam o Sol (não respeitam o Sol)
Não agradecem à lua
[Refrão 2]
Michel Ohgata deixa a cidade sem entender
Por que complicam tanto? Por que não deixam viver?
Não entendia a sorte não sabia o que era fé
Não se encaixava em um destino
[Ponte]
Quem precisa ensinar?
Quem precisa aprender?"
Lado Bets,2020-07-17 00:00:00,A Recompensa,"Passou muito além do seu destino
Perdeu mais tempo sem nada para fazer
Todas as coisas fúteis
Que ela nunca fez
Se olhando no espelho
Rindo de si mesma
É tarde para definir
Se tudo foi bom ou ruim
Se nada te fez ver
Não se preucupe mais
Seja feliz como nunca se permitiu
Agora ja não é tempo para lamentar
Sentiu falta de se dedicar
Pela primeira vez
Teve a vida em suas mãos
É tarde para defini
Se tudo foi bom ou ruim
Se nada te fez ver
Não se preucupe mais
Seja feliz como nunca se permitiu
Agora ja não é tempo para lamentar
Ninguem vai sentir e ver por você
A recopensa não virá
Mais isso não importa
Tudo vai terminar
Sobre os escrombos a sorrir
No meio da multidão
Cantando alto a canção"
Lado Bets,2020-07-17 00:00:00,Múmia,"[Verso 1]
Tratar as pessoas como se tivessem dito o que fazer
O mal que fez a si mesmo, sempre rogado desejando
Por mais silêncio que pudesse haver
Não era só por mim
[Refrão]
Suportar as tarjas, censuras e escolhas
Em tudo, há consequência
Tente aceitar a tua, assuma o que é teu
[Verso 2]
Para outros, todo mal, como é fácil apontar
Este é o seu melhor, tudo que pode demonstrar?
Eu sei, nunca vai ouvir
Que Deus é esse o seu que reza só pra si?
[Refrão]
Suportar as tarjas, censuras e escolhas
Em tudo, há consequência
Tente aceitar a tua, assuma o que é teu
[Ponte 1]
Ainda bem que insisti em esperar o pior
E ver, em copos vazios, uma escolha melhor
Não exercer o poder vindo de ideias tão burras
E aceitar que você podia ser muito mais
Talvez tenha sido cego, mas continuei por paixão
Se o dinheiro não veio e ninguém pode pagar
Não precisava ter feito o que fez
[Ponte 2]
Tente outra vez
(Ou esqueça pra sempre)
Tornar melhor
(Você acha que pode?)
Tente outra vez
(Outra oportunidade)"
Lado Bets,2020-07-17 00:00:00,Sem Remédio,"[Verso 1]
Não perca tempo, a máquina não vai parar
Nem esperar por você ou por ninguém
Não se distraia, mantenha o passo, siga o fluxo
Cumpra a meta e não esqueça de sorrir
[Pré-Refrão 1]
Com orgulho ou desprezo
A vaga é sua até não ser mais
Tão fácil substituir
[Refrão 1]
Você perdeu espaço e valor
O mundo do trabalho é sem remédio
Peça obsoleta, encaixes desgastados
Todos sabiam, esse dia iria chegar
[Verso 2]
Quando o cansaço torna difícil suportar
O custo é alto, mas não há pr'onde correr
Se recomponha, tome um remédio pra acelerar
Um relaxante e oito gotas pra concentração
[Pré-Refrão 2]
Sinta fluir
Você é parte da engrenagem
Sinta apertar e explodir
[Refrão 2]
Você perdeu espaço e valor
O colapso do indivíduo é sem remédio
Peça obsoleta, encaixes desgastados
A máquina não vai te esperar
[Ponte 1]
Mantenha o passo, sempre sorrindo
Com ordem e progresso
Mantenha o passo, siga o fluxo
Até morrer
[Verso 3]
A doença ingerida diariamente
O vazio que não dá pra preencher
Com anúncios ou mentiras ou remédios
O sofrimento que mata sem perceber
[Ponte 2]
Sinta fluir
Você é parte"
Lado Bets,2020-07-17 00:00:00,Maniac Nonlinear,
Ponto Cego,2019-05-31 00:00:00,A Inevitável Mudança,"A narrativa vinda do colonizador
Tingiu de branco nossa história
E sem escrúpulo omitiu e apagou
O outro lado da moeda
Mas cada dia mais
Janelas vão se abrir
E a diversidade vai brilhar ao Sol
O passado frágil corre pra se proteger
Tranca a porta e fecha as cortinas
O presente do futuro que tem que acontecer
Chega e se pronuncia
E logo ao escutar
A voz de outro alguém
O velho se põe a gritar
Espernear, tenta abafar
A inevitável mudança
Do ponto cego da história brotam vozes de resistência e de luta
Quando o oprimido finalmente se expressa o resto, cala e escuta
Tirando aqueles que nunca querem ouvir
Fecham os olhos e sonham com aquilo que nunca mais será
Nunca mais será"
Ponto Cego,2019-05-31 00:00:00,Sangue Nas Mãos,"Sim, foi golpe!
Orquestrado
Por sorrisos velhos e apertos de mão
Rumo ao passado
A esperança das ruas de 2013
Catalizou aquele grande acordo nacional
Com o Supremo e com tudo
Pra estancar uma sangria
Em nome da família
E de um torturador
Motivo de vergonha, indignação
Os gritos que ecoam das janelas
O lado certo da história
Não tem sangue nas mãos
Uma jovem democracia
Acorrentada nos porões
Pra que velhos ratos
Possam voltar a reinar
Comprando a justiça
Não há corrupção
Entre brancos e ricos
Pois ninguém é julgado
E a vida segue
Motivo de vergonha, indignação
A cumplicidade das panelas
O lado certo da história
Não tem sangue nas mãos
Em cada casa, um ponto cego, um cidadão se levantou
Abriu a porta do armário e o preconceito se espalhou
Quando o passado volta à moda em nome de um torturador
O sonho médio é vestir a carapuça do opressor
E achar que tem poder
Buscando um inimigo
Fomenta a paranoia e o faz pra confundir
Buscando um inimigo
Aponta a arma pra si
E é assim que começa
Motivo de vergonha, indignação
Os gritos que ecoam das janelas
O lado certo da história
Não tem sangue nas mãos"
Ponto Cego,2019-05-31 00:00:00,Pobres Cachorros,"Pelas passarelas de concreto
O idiota, o cidadão de bem
Desfila com seus cachorros de marca
Acessórios do status quo
Fetiche do autoritário
A rédea curta em suas mãos
Subordinado adotado
Pra aliviar sua tensão
Pobres cachorros
Aperta o passo, aperta o laço
Mostrando quem é de quem
Correção educativa
Não se aprende sem sofrer
Aperta o passo, aperta o laço
Sufocado com poder
Liberdade limitada
Vigilância para o bem
Pobres cachorros
Destruir pra dominar
Agredir e avançar
Quem é mais irracional
Nada vai sobrar
Retornando para o ponto cego
Posto de volta em seu lugar
Humilhado, preso e castigado
Sem ninguém pra lhe ouvir chorar
Confinado, segregado
Trancado de 9 às 6
Neurose alimentada
A violência vai vencer
Pobres cachorros
Destruir pra dominar
Agredir e avançar
Quem é mais irracional
Nada vai sobrar
Pobres cachorros"
Ponto Cego,2019-05-31 00:00:00,Não Termina Assim,"A distopia que era mito
Fundamentada por debates mudos e evasivas
Foi endossada, foi eleita
A voz daqueles que só pensam em si
Pra defender o status quo
Que foi imposto
E governar pelo dinheiro
Presos em seu umbigo-mundo
Tudo ao redor é ponto cego, puro vitimismo
Cortar direitos, sem empatia
Privatizar a qualquer preço é progredir
E não termina assim, é só o começo
Quem paga o preço pro um por cento enriquecer
E prosperar
Visto de cima não parece tão ruim
Exílio ou prisão
Essas opções
Para quem se opõe
Não servem para nós
Resiliência
Impede de nos destruir
De golpe a golpe
Alguém precisa agir
Estamos prontos pra lutar
E não termina assim, é só o começo
Não temos medo de enfrentar o que há por vir
Sem nos calar
Os dias de autoritarismo terão fim
Terão fim"
Ponto Cego,2019-05-31 00:00:00,Sombras Da Caverna,"Privilegiada visão
De frente pra tela
Escolhe achar real
Simplista, plausível
Pra que pesar?
Elege a ilusão
Só existe o que vê
E o que vê é só o que há
A todo o resto é permitido suprimir e eliminar
Mas as sombras da caverna permanecerão lá
O medo e a ambição
Buscam um aliado
Pra manter tudo igual
Enfrenta fantasmas com munição
Quem julga nunca sangrar
Só existe o que vê
E o que vê é só o que há
A todo o resto é permitido suprimir e eliminar
Mas as sombras da caverna permanecerão lá
Conveniente ponto cego
Isolados psicóticos, no partido do eu primeiro
Remediados criminosos"
Ponto Cego,2019-05-31 00:00:00,O Melhor Em Um,"Passa o muro, passa a grade
Passa a porta, passe a chave
Fique à vontade como sempre fez
Financiado privilégio
Ele é nosso, o mérito venceu
Parece que hoje vai chover
Veja a verdade na TV
Quatro paredes e o chão sagrado
Onde vigoram suas leis
Bom dia entre dentes
No território onde nada é informal
Orgulho decadente
Unitário, paralelo
Sem contato, ponto cego
O silêncio onde ecoa uma só voz
Sem saída pra evitar contágio
Soberano em seu lugar
Certezas sem questionamentos
A voz que não se faz ouvir
Qual valor em ser o melhor em um?
Confortável, nos limites
Porta afora inimigos
Outras vozes, outros egos
Conglomerado de ruídos
Cada porta
Cada um
Cada qual seu próprio rei
Certezas sem questionamentos
A voz que não se faz ouvir
Qual o valor em ser o melhor em um?"
Ponto Cego,2019-05-31 00:00:00,Doutrina Do Choque,"Na guerra não convencional
Na doutrina do choque
O predador neoliberal
Faz a festa
Do Deus mercado e capital desregularizado
Se alimentam oligarcas
Pros senhores do mundo
Multipolaridade
Tirar dinheiro de suas mãos
Reserva de petróleo
Que não lhes cabe parte
Necessita intervenção
A guerra híbrida não usa força militar
Vigia e explora pontos vulneráveis
Pra impor ou se opor, pra tomar o poder
Interfere no processo eleitoral
Vulgo golpe
Atrás do orgulho nacional
Em nome do progresso
O predador neoliberal
Faz a festa
Novo sistema laboral
Fábrica de escravos
Prioriza oligarcas
Desorientação reduz a resistência
A classe média faz a sua parte
Jogando sujo contra a corrupção
De emergente à subserviente
Abrindo espaço para o Chicago boy
Privatizar todas estatais
Favorecer os ricos às custas dos pobres
Eliminar programas sociais
Arma na mão pra garantir a paz
Do virtual ao institucional
Destruir para lucrar com a reconstrução
Trocar de dono
No ponto cego está toda a população
Meros inquilinos
Empreendendo, pagando a conta
Pro bem-estar de poucos
Na guerra não convencional
Na doutrina do choque
O predador neoliberal
Faz a festa
Devorando tudo até não sobrar nada
Capitalismo do desastre"
Ponto Cego,2019-05-31 00:00:00,Etiqueta Social,"Atenção
Às regras de convivência social
Informação
Inquestionavelmente real
Os muros serão altos
Conter e vigiar
Traços subversivos
Punir e delatar
Elevadores são feitos pra subir
As minorias não vão poder usar
Escadas e entrada de serviço
Se ponha em seu lugar
Crianças
Ficarão longe do senso crítico
Quem fraquejar
Será imediatamente punido
Destinando
Ao ponto cego
Além dos muros
Todo o lixo"
Ponto Cego,2019-05-31 00:00:00,Suv's (Stupids Utility Vehicle),"Distribuída ordem na vertical
Protege suas vidas
Na mira das armas
Filhos, pais e mães
Prevalecem os seus
Se a morte humana te torna melhor
Se esse holocausto te faz bem
No mundo egocêntrico das SUV’s
Quem matou?
Quem morreu?
Usar de sangue derramado pra justificar
Autoajuda, gasolina
Seu sadismo classicista
Atropele pobres marginais
Na velocidade da luz
Sua ética do tanto faz
Tornando mais leve a cruz
O conservadorismo hipócrita do pregador
Elege seus bolsos
A justiça tira a venda e escolhe o vilão
Quem se encarcerou na estupidez
Da própria coerência é refém
Quem comprou com egoísmo
Que receba a prestação
Sem classe, vitimismo, sem razão
Acima de tudo sempre foi você
E no ponto cego enxergar
A tragédia prevista
Motores potentes pro bem
Na velocidade da luz
Golpistas prudentes não veem
O abismo que os matará
Pra onde for o desprezo
Ele voltará
Sem motivo, assustando
O troco a pagar
Em bólidos onde nem a temperatura é real
Não vislumbra o horror
Que escolheu colher
Pra onde for o desprezo
Ele voltará
Com motivo, assombrando
O troco a pagar
Em bólidos onde nem a temperatura é real
Não vislumbra o horror
Que escolheu colher"
Ponto Cego,2019-05-31 00:00:00,Apagão,"Fez-se o tumulto
E a desinformação
Daí surgiu a oportunidade
Se instala o medo
E a insensatez
Que não aflige quem tem muro e grade
Quando alguém vier bater
A sua porta a noite
E não tiver a quem recorrer
Como será?
Quando o discurso
É posto em ação
Daí talvez já seja muito tarde
No ponto cego
O grito é em vão
A vida tem suas fatalidades
Quando alguém vier bater
A sua porta a noite
E não tiver a quem recorrer
Como será?
Cegando o bairro e o estado
Cegos de cima a baixo
Incentivando a privada em detrimento de todos
Uma cagada liberal
Imediatista imoral
O fascismo informal
Noite infértil, escura, longa e fria
O grito é em vão
Os absurdos
Em meio ao apagão
A quem foi dada legitimidade?
Cegos e surdos
Em meio ao apagão
A vida tem suas fatalidades
Batendo a sua porta
Em meio a escuridão
Ninguém ouve ou vê"
