album,data,musica,letra
labirinto da memória,2024-01-12T00:00:00.000000,bolero,"o ar mesmo de longe exalava problema e há algum tempo o que eu buscava era mesmo problema um sopro de vida, uma virada de chave uma corrente que levasse pro outro canto da margem sem tradução como o diabo no redemoinho sem perceber que aquele evento mudava pra sempre o caminho e a partir daquele dia esse bolero virou minha vida e ainda bem que eu me еncontrei aqui eu 'tava tentando era еra me perder deformado pra melhor, eu já não andava sozinho primeiro a gente parte o pão e depois toma o moinho num mundo hostil, uma mudança de clave a nossa rede baseada toda em camaradagem sem tradução como a eterna saudade que sinto passa ano atrás de ano e esse fogo não é extinto e a partir daquele dia esse pagode mudou minha vida e ainda bem que eu te encontrei aqui eu 'tava tentando era era me perder eu sei que perdi bem mais de cem vezes o meu peso em suor e sangue aqui e essa noite a gente celebra e ainda bem que eu te encontrei se essa vida é boa em uma coisa é em nos matar"
labirinto da memória,2024-01-12T00:00:00.000000,divino caos,"somos sós, mas não estamos sós somos água corrente somos pedras que rolam átomos conectados por eletricidade do material ao imaterial tudo que passa deixa algo e leva algo num movimento que é capaz de transformar o universo gira do caos e do silêncio e a paz da explosão, do som somos matéria cósmica e divina material em putrefação criando e destruindo a cada segundo aqui do etéreo às cinzas do profano à luz o que nos perpassa em vida fica e desaparece resignifica e se vai com o universo como um sopro, como chuva num vulcão somos um em um trilhão átomos organizados atirados, espalhados e reutilizados um minuto é muito uma vida é muito pouco desintegralmente integrados nesse divino caos em um mergulho de volta ao útero na placenta do mar local um impulso nos sabores, cores e odores da raiz mais radical da pequenês do universo à infinitude celular uma migalha, um próton de um grão ao pão explosão coletiva tudo enormemente cerebral não há bem, não há mal apenas esse divino caos não há bem e não há mal apenas esse divino caos não há bem e não há mal ninguém é especial é inevitável somos um só, conectados ao divino caos divino caos"
labirinto da memória,2024-01-12T00:00:00.000000,você conhece pistóia,"eu estive em sua guerra limpei suas armas eu lotei o seu porão matei ser quem eu pensava eu defendi suas ideias eu desejei o seu futuro trabalhei com afinco, te imitei eu me nutri do seu lixo me tornei educado recebi meu salário acatei o que me foi dito queria ser igual já não posso mais"
lado bets,2020-07-17T00:00:00.000000,décimo andar,"vislumbrar um caos tão ordenado daqui janelas acesas e postes de alguém, não sentir saudades da onde vier outro episódio sobre esta vida real que não vai cristalizar, não se pode valorar em uma figura para trace-consumir sem esperar as ruas da cidade hoje não vai chover, hoje não vai chover fogo a ultrapassar, paciência a esperar chegarem"
lado bets,2020-07-17T00:00:00.000000,roubando comida,"ele é limpinho toma banho e penteia o cabelinho faz a barba e toma iogurte paga seus impostos em dia fala baixo e respeita o vizinho respeita a polícia militar diz trabalhar feito um camelo e odiar os nordestinos nada melhor um cidadão de bem entende seus direitos pensando mais além sempre pronto pra dar um conselho vê um bom sujeito no espelho se relaciona com as pessoas certas sempre, as mais espertas se diverte na festa murcha uma de testa acredita em violar o estado sempre em seu proveito acredita na família e na igreja uma cidade limpa é o que deseja sem crianças pretas na sarjeta apóia grupos de extermínio nada melhor um cidadão de bem entende seus direitos pensando mais além mas o salário não dava vivia além do que podia comprando tudo o que via, veio a carestia achava entender economia a dívida crescendo e a insatisfação um homem bom com crédito foi preso roubando comida nada melhor (roubando comida) um cidadão de bem (roubando comida) entende seus direitos (roubando comida) pensando mais além"
lado bets,2020-07-17T00:00:00.000000,deem nome aos bois,"o que é mais conveniente que amnésia coletiva? não saber porque se morre nem porque se mata não queremos esquecer se não há lembrança existe um sentimento de algo injusto no ar o argumento não convence, mostrem suas mãos sujas de sangue, o que não vem ao caso esconder, perpetuar temos o direito à verdade pingos nos ""i""s, um passo à frente deem nome aos bois ordem e progresso por memória ampla e restrita para quem? pra velhos em seus pijamas e suas gordas pensões onde fica o desespero de quem ainda procura? abra os seus arquivos, covardes militares assassinos, coronéis temos o direito à verdade pingos nos ""i""s, um passo à frente deem nome aos bois reconstruir nossa memória reconstruir nossa memória reconstruir nossa memória"
lado bets,2020-07-17T00:00:00.000000,o outro do outro,"sem janelas, só espelhos a boa vida no apertamento proteção que aliena a quem convém sufocando em segurança retorcendo e distorcendo a razão interesses que não servem mais ninguém cresce o muro, cresce a grade cresce o ego insustentavelmente cresce o medo, o ódio e o desdém ganhar mudando as leis, viver sem competir desaprender a enxergar e a sentir o ponto cego desumaniza o outro nega e anula o outro e o outro do outro do outro amor devido é amor não pago dentro de uma escala de valor a prudência que é capaz de anular aplaudido pelo ego o reforço opositivo para si dividir a dívida pra se isentar responsabilizar, acusar, repreender aqueles que não poderão se defender o ponto cego desumaniza o outro nega e anula o outro e o outro do outro do outro cativeiro privativo alto custo de manutenção esperando a chegada do passado fragilidade extrema revivendo a confrontação resignado ao quadrado o ponto cego desumaniza o outro nega e anula o outro e o outro do outro do outro auto-ajuda, gasolina nos limites entre contas e quinas pobres cachorros prontos pra se adaptar na caverna, o que vê é só o que há receita fabricada para confundir o outro do outro do outro"
lado bets,2020-07-17T00:00:00.000000,modern man,"i've got nothing to say, i've got nothing to do all of my neurons are functioning smoothly yet still i'm a cyborg just like you i am one big myoma that thinks my planet supports only me i've got this one big problem: will i live forever? i've got just a short time you see modern man, evolutionary betrayer modern man, ecosystem destroyer modern man, destroy yourself in shame modern man, pathetic example of earth's organic heritage when i look back and think when i ponder and ask why? i see my ancestors spend with careless abandon assuming eternal supply modern man, evolutionary betrayer modern man, ecosystem destroyer modern man, destroy yourself in shame modern man, pathetic example of earth's organic heritage just a sample of carbon-based wastage just a fucking tragic epic of you and i"
lado bets,2020-07-17T00:00:00.000000,michel oghata,"foi avisado, lá não era um bom lugar o príncipe ordenou não ser tão curioso aquilo podia matar, não precisava entender o que chamam civilização partiu com um sorriso na face sem dar ouvidos, lá se foi qualquer dia, qualquer lugar precisava provar michel oghata vai pra cidade aprender vivenciar o belo, ver o seu superior tratado como diferente, se assustou passaporte, passeou a morte a lei para os indesejáveis louros ao vencedor se arrependeu em estar ali e quis fugir um preço alto demais a pagar não precisa mais do que já sabe eles não confiam em ninguém não respeitam o sol (não respeitam o sol) não agradecem à lua michel ohgata deixa a cidade sem entender por que complicam tanto? por que não deixam viver? não entendia a sorte não sabia o que era fé não se encaixava em um destino quem precisa ensinar? quem precisa aprender?"
lado bets,2020-07-17T00:00:00.000000,a recompensa,passou muito além do seu destino perdeu mais tempo sem nada para fazer todas as coisas fúteis que ela nunca fez se olhando no espelho rindo de si mesma é tarde para definir se tudo foi bom ou ruim se nada te fez ver não se preucupe mais seja feliz como nunca se permitiu agora ja não é tempo para lamentar sentiu falta de se dedicar pela primeira vez teve a vida em suas mãos é tarde para defini se tudo foi bom ou ruim se nada te fez ver não se preucupe mais seja feliz como nunca se permitiu agora ja não é tempo para lamentar ninguem vai sentir e ver por você a recopensa não virá mais isso não importa tudo vai terminar sobre os escrombos a sorrir no meio da multidão cantando alto a canção
lado bets,2020-07-17T00:00:00.000000,múmia,"tratar as pessoas como se tivessem dito o que fazer o mal que fez a si mesmo, sempre rogado desejando por mais silêncio que pudesse haver não era só por mim suportar as tarjas, censuras e escolhas em tudo, há consequência tente aceitar a tua, assuma o que é teu para outros, todo mal, como é fácil apontar este é o seu melhor, tudo que pode demonstrar? eu sei, nunca vai ouvir que deus é esse o seu que reza só pra si? suportar as tarjas, censuras e escolhas em tudo, há consequência tente aceitar a tua, assuma o que é teu ainda bem que insisti em esperar o pior e ver, em copos vazios, uma escolha melhor não exercer o poder vindo de ideias tão burras e aceitar que você podia ser muito mais talvez tenha sido cego, mas continuei por paixão se o dinheiro não veio e ninguém pode pagar não precisava ter feito o que fez tente outra vez (ou esqueça pra sempre) tornar melhor (você acha que pode?) tente outra vez (outra oportunidade)"
lado bets,2020-07-17T00:00:00.000000,sem remédio,"não perca tempo, a máquina não vai parar nem esperar por você ou por ninguém não se distraia, mantenha o passo, siga o fluxo cumpra a meta e não esqueça de sorrir com orgulho ou desprezo a vaga é sua até não ser mais tão fácil substituir você perdeu espaço e valor o mundo do trabalho é sem remédio peça obsoleta, encaixes desgastados todos sabiam, esse dia iria chegar quando o cansaço torna difícil suportar o custo é alto, mas não há pr'onde correr se recomponha, tome um remédio pra acelerar um relaxante e oito gotas pra concentração sinta fluir você é parte da engrenagem sinta apertar e explodir você perdeu espaço e valor o colapso do indivíduo é sem remédio peça obsoleta, encaixes desgastados a máquina não vai te esperar mantenha o passo, sempre sorrindo com ordem e progresso mantenha o passo, siga o fluxo até morrer a doença ingerida diariamente o vazio que não dá pra preencher com anúncios ou mentiras ou remédios o sofrimento que mata sem perceber sinta fluir você é parte"
lado bets,2020-07-17T00:00:00.000000,maniac nonlinear,
ponto cego,2019-05-31T00:00:00.000000,a inevitável mudança,"a narrativa vinda do colonizador tingiu de branco nossa história e sem escrúpulo omitiu e apagou o outro lado da moeda mas cada dia mais janelas vão se abrir e a diversidade vai brilhar ao sol o passado frágil corre pra se proteger tranca a porta e fecha as cortinas o presente do futuro que tem que acontecer chega e se pronuncia e logo ao escutar a voz de outro alguém o velho se põe a gritar espernear, tenta abafar a inevitável mudança do ponto cego da história brotam vozes de resistência e de luta quando o oprimido finalmente se expressa o resto, cala e escuta tirando aqueles que nunca querem ouvir fecham os olhos e sonham com aquilo que nunca mais será nunca mais será"
ponto cego,2019-05-31T00:00:00.000000,sangue nas mãos,"sim, foi golpe! orquestrado por sorrisos velhos e apertos de mão rumo ao passado a esperança das ruas de 2013 catalizou aquele grande acordo nacional com o supremo e com tudo pra estancar uma sangria em nome da família e de um torturador motivo de vergonha, indignação os gritos que ecoam das janelas o lado certo da história não tem sangue nas mãos uma jovem democracia acorrentada nos porões pra que velhos ratos possam voltar a reinar comprando a justiça não há corrupção entre brancos e ricos pois ninguém é julgado e a vida segue motivo de vergonha, indignação a cumplicidade das panelas o lado certo da história não tem sangue nas mãos em cada casa, um ponto cego, um cidadão se levantou abriu a porta do armário e o preconceito se espalhou quando o passado volta à moda em nome de um torturador o sonho médio é vestir a carapuça do opressor e achar que tem poder buscando um inimigo fomenta a paranoia e o faz pra confundir buscando um inimigo aponta a arma pra si e é assim que começa motivo de vergonha, indignação os gritos que ecoam das janelas o lado certo da história não tem sangue nas mãos"
ponto cego,2019-05-31T00:00:00.000000,pobres cachorros,"pelas passarelas de concreto o idiota, o cidadão de bem desfila com seus cachorros de marca acessórios do status quo fetiche do autoritário a rédea curta em suas mãos subordinado adotado pra aliviar sua tensão pobres cachorros aperta o passo, aperta o laço mostrando quem é de quem correção educativa não se aprende sem sofrer aperta o passo, aperta o laço sufocado com poder liberdade limitada vigilância para o bem pobres cachorros destruir pra dominar agredir e avançar quem é mais irracional nada vai sobrar retornando para o ponto cego posto de volta em seu lugar humilhado, preso e castigado sem ninguém pra lhe ouvir chorar confinado, segregado trancado de 9 às 6 neurose alimentada a violência vai vencer pobres cachorros destruir pra dominar agredir e avançar quem é mais irracional nada vai sobrar pobres cachorros"
ponto cego,2019-05-31T00:00:00.000000,não termina assim,"a distopia que era mito fundamentada por debates mudos e evasivas foi endossada, foi eleita a voz daqueles que só pensam em si pra defender o status quo que foi imposto e governar pelo dinheiro presos em seu umbigo-mundo tudo ao redor é ponto cego, puro vitimismo cortar direitos, sem empatia privatizar a qualquer preço é progredir e não termina assim, é só o começo quem paga o preço pro um por cento enriquecer e prosperar visto de cima não parece tão ruim exílio ou prisão essas opções para quem se opõe não servem para nós resiliência impede de nos destruir de golpe a golpe alguém precisa agir estamos prontos pra lutar e não termina assim, é só o começo não temos medo de enfrentar o que há por vir sem nos calar os dias de autoritarismo terão fim terão fim"
ponto cego,2019-05-31T00:00:00.000000,sombras da caverna,"privilegiada visão de frente pra tela escolhe achar real simplista, plausível pra que pesar? elege a ilusão só existe o que vê e o que vê é só o que há a todo o resto é permitido suprimir e eliminar mas as sombras da caverna permanecerão lá o medo e a ambição buscam um aliado pra manter tudo igual enfrenta fantasmas com munição quem julga nunca sangrar só existe o que vê e o que vê é só o que há a todo o resto é permitido suprimir e eliminar mas as sombras da caverna permanecerão lá conveniente ponto cego isolados psicóticos, no partido do eu primeiro remediados criminosos"
ponto cego,2019-05-31T00:00:00.000000,o melhor em um,"passa o muro, passa a grade passa a porta, passe a chave fique à vontade como sempre fez financiado privilégio ele é nosso, o mérito venceu parece que hoje vai chover veja a verdade na tv quatro paredes e o chão sagrado onde vigoram suas leis bom dia entre dentes no território onde nada é informal orgulho decadente unitário, paralelo sem contato, ponto cego o silêncio onde ecoa uma só voz sem saída pra evitar contágio soberano em seu lugar certezas sem questionamentos a voz que não se faz ouvir qual valor em ser o melhor em um? confortável, nos limites porta afora inimigos outras vozes, outros egos conglomerado de ruídos cada porta cada um cada qual seu próprio rei certezas sem questionamentos a voz que não se faz ouvir qual o valor em ser o melhor em um?"
ponto cego,2019-05-31T00:00:00.000000,doutrina do choque,"na guerra não convencional na doutrina do choque o predador neoliberal faz a festa do deus mercado e capital desregularizado se alimentam oligarcas pros senhores do mundo multipolaridade tirar dinheiro de suas mãos reserva de petróleo que não lhes cabe parte necessita intervenção a guerra híbrida não usa força militar vigia e explora pontos vulneráveis pra impor ou se opor, pra tomar o poder interfere no processo eleitoral vulgo golpe atrás do orgulho nacional em nome do progresso o predador neoliberal faz a festa novo sistema laboral fábrica de escravos prioriza oligarcas desorientação reduz a resistência a classe média faz a sua parte jogando sujo contra a corrupção de emergente à subserviente abrindo espaço para o chicago boy privatizar todas estatais favorecer os ricos às custas dos pobres eliminar programas sociais arma na mão pra garantir a paz do virtual ao institucional destruir para lucrar com a reconstrução trocar de dono no ponto cego está toda a população meros inquilinos empreendendo, pagando a conta pro bem-estar de poucos na guerra não convencional na doutrina do choque o predador neoliberal faz a festa devorando tudo até não sobrar nada capitalismo do desastre"
ponto cego,2019-05-31T00:00:00.000000,etiqueta social,atenção às regras de convivência social informação inquestionavelmente real os muros serão altos conter e vigiar traços subversivos punir e delatar elevadores são feitos pra subir as minorias não vão poder usar escadas e entrada de serviço se ponha em seu lugar crianças ficarão longe do senso crítico quem fraquejar será imediatamente punido destinando ao ponto cego além dos muros todo o lixo
ponto cego,2019-05-31T00:00:00.000000,suv's (stupids utility vehicle),"distribuída ordem na vertical protege suas vidas na mira das armas filhos, pais e mães prevalecem os seus se a morte humana te torna melhor se esse holocausto te faz bem no mundo egocêntrico das suv’s quem matou? quem morreu? usar de sangue derramado pra justificar autoajuda, gasolina seu sadismo classicista atropele pobres marginais na velocidade da luz sua ética do tanto faz tornando mais leve a cruz o conservadorismo hipócrita do pregador elege seus bolsos a justiça tira a venda e escolhe o vilão quem se encarcerou na estupidez da própria coerência é refém quem comprou com egoísmo que receba a prestação sem classe, vitimismo, sem razão acima de tudo sempre foi você e no ponto cego enxergar a tragédia prevista motores potentes pro bem na velocidade da luz golpistas prudentes não veem o abismo que os matará pra onde for o desprezo ele voltará sem motivo, assustando o troco a pagar em bólidos onde nem a temperatura é real não vislumbra o horror que escolheu colher pra onde for o desprezo ele voltará com motivo, assombrando o troco a pagar em bólidos onde nem a temperatura é real não vislumbra o horror que escolheu colher"
ponto cego,2019-05-31T00:00:00.000000,apagão,"fez-se o tumulto e a desinformação daí surgiu a oportunidade se instala o medo e a insensatez que não aflige quem tem muro e grade quando alguém vier bater a sua porta a noite e não tiver a quem recorrer como será? quando o discurso é posto em ação daí talvez já seja muito tarde no ponto cego o grito é em vão a vida tem suas fatalidades quando alguém vier bater a sua porta a noite e não tiver a quem recorrer como será? cegando o bairro e o estado cegos de cima a baixo incentivando a privada em detrimento de todos uma cagada liberal imediatista imoral o fascismo informal noite infértil, escura, longa e fria o grito é em vão os absurdos em meio ao apagão a quem foi dada legitimidade? cegos e surdos em meio ao apagão a vida tem suas fatalidades batendo a sua porta em meio a escuridão ninguém ouve ou vê"
ponto cego,2019-05-31T00:00:00.000000,janelas,janelas abertas mentes fechadas cortinas bonitas ideias erradas a luz que não penetra a escuridão escolhas que restringem a visão panorama limitado uma depravada especulação o preço é alto ganância ambição a água que chega para destruir encharca as plantas que não tem raiz receitas fabricadas pra esclarecer humanos sem olfato e sem cor se um dia a luz entrar e revelar os erros dessa existência mostrando sombras o que é real e não se pode esconder uma vida mensal entre quinas e contas nas paredes seguras dessa não-relação no ponto cego é fácil disfarçar o cheiro podre de todo andar se um dia o sol entrar e não aquecer só a noite vai morar dentro deste ser
ponto cego,2019-05-31T00:00:00.000000,messias,"bom dia, grupo! olha a notícia sentimental e alarmista que desperta indignação e aponta um inimigo bom dia, grupo! olha a notícia gráficos e estatísticas condizentes com a intuição o inimigo é culpado em meio à crise sacramentado salvador se quer acreditar unidos pelo ódio a um mesmo inimigo que belo sentimento fazer parte da tribo preste atenção ao demagogo há trinta anos nesse jogo ele agora é a salvação ele agora é a salvação sem diálogo, nem projetos dando graças ao ódio e ao medo em meio à crise autoritário opressor vem pra contagiar a epidemia se espalhou por todos os lados a mentira viralizou tornou-se real o horizonte é o ponto cego quando se olha só para si é o preço que se paga se a democracia estiver entre o rei e o que ele quer é a caneta ou a espada que prevalecerá em meio à crise autoritário opressor vem pra contagiar sacramentada pós verdade rebanho pronto pra aceitar criados pra matar aplaudindo o salvador"
ponto cego,2019-05-31T00:00:00.000000,receita pro fracasso,"congele o investimento em saúde e educação reduza a idade de trancá-los na prisão desigualdade aumenta, a repressão também uma guerra de classes beneficia a quem? frágeis soluções a pressão faz o sangue ferver alimentando frustrações receita pro fracasso busque um emprego com a terceirização pode negociar direto com o patrão aceite a migalha e nem pense em reclamar pois sempre terá outro querendo seu lugar alimente o próprio ego tudo mais é um ponto cego além da limitação inútil argumentação propague a insegurança e o medo vai crescer o medo vira ódio o ódio busca um alvo receita pro fracasso salve-se quem puder polarize emburreça mexa a massa leve ao fogo frágeis soluções a pressão faz o sangue ferver alimentando frustrações receita pro fracasso aproveite para consumir desenfreadamente todo e qualquer recurso humanos vão prevalecer e essa é a receita"
ponto cego,2019-05-31T00:00:00.000000,descendo as escadas,"descendo as escadas a vida alheia entretém são paulo machuca e a solidão também venda casada, a solução final numa história vazia a empatia se desfez em corredores, cultos e ações comportamentos afetados por lições se faz valer sempre o mais forte em nome do perdão, deuses fazem reféns dedo no gatilho, sempre a reação encarar escolhas, enfrentar o depois interpretar a vítima pronto pra matar não se deve contestar não vai adiantar tentar esconder no ponto cego neutro e seguro que encontrou dentro de um vazio que não cicatrizou e não vai denunciar nem se mostrar cruel do branco da parede determinada perfeição insultos inanimados, uma vida sem som por trás das evidências, uma moral sem cor escuridão humana travestida de ação mãos sob controle, ocupam a visão hipnose em massa, assimilação interpretar a vítima pronta pra morrer é preciso compreender não vai adiantar tentar esconder no ponto cego neutro e seguro que encontrou dentro de um vazio que não cicatrizou e não vai denunciar nem hesitar em se mostrar cruel água empoçada, rigidez, torpor discurso de casta, modelo importado baixa tolerância, alta infração seguindo a hierarquia e vivendo em negação não vai justificar roubar pra empreender cuspir, bater a porta ordenar quando convém comércio a sangue frio sofrimento é transação e não vai denunciar nem se mostrar cruel"
ponto cego,2019-05-31T00:00:00.000000,o outro do outro,"sem janelas, só espelhos a boa vida no apertamento proteção que aliena a quem convém sufocando em segurança retorcendo e distorcendo a razão interesses que não servem mais ninguém cresce o muro, cresce a grade cresce o ego insustentavelmente cresce o medo, o ódio e o desdém ganhar mudando as leis, viver sem competir desaprender a enxergar e a sentir o ponto cego desumaniza o outro nega e anula o outro e o outro do outro do outro amor devido é amor não pago dentro de uma escala de valor a prudência que é capaz de anular aplaudido pelo ego o reforço opositivo para si dividir a dívida pra se isentar responsabilizar, acusar, repreender aqueles que não poderão se defender o ponto cego desumaniza o outro nega e anula o outro e o outro do outro do outro cativeiro privativo alto custo de manutenção esperando a chegada do passado fragilidade extrema revivendo a confrontação resignado ao quadrado o ponto cego desumaniza o outro nega e anula o outro e o outro do outro do outro auto-ajuda, gasolina nos limites entre contas e quinas pobres cachorros prontos pra se adaptar na caverna, o que vê é só o que há receita fabricada para confundir o outro do outro do outro"
